,Documents,INDIVIDUAL PRIVATE PRACTICE,NURSE-LED PRIVATE PRACTICE,OUTREACH PRACTICE,MULTIPLE LICENCE(S),GROUP PRACTICE,F. EMS,"PRIVATE HOSPITAL, NURSING HOMES and STEP-DOWN FACILITIES",NOT-FOR-PROFIT AND WORKPLACE,,
lKon9xsRktH,Application letter to the Director of Health Services,?,?,?,?,?,?,?,?,,
y8OJ9pOdLwo,Certified copy of national identification card (citizen) or passport (non-citizen),?,?,?,?,?,,,,,
HDcDWd8KxND,Certified copy of residence permit and work permit or waivers (if applicable),?,,?,?,?,,,,,
M1mtzSEisTL,"Certified copies of certificates of qualification (including ACLS, PALS, ATLS of lead medical professional)",?,?,?,,?,,,,,
PyWrHugxcFT,Current curriculum vitae,?,?,?,?,?,,,,,
uP51La6owLL,Certified copy of current BHPC certificate (full registration),?,,?,?,?,,,,,
LYPdDPu10xb,Certified copy of BHPC blue card,?,,,?,?,,,,,
"Z68MDWA3vlk
",Two recent professional references (not more than six months old; one from immediate supervisor or previous supervisor),?,?,?,?,,,,,,
DyT6IesPHtW,Two recent professional references (not more than six months old; one from immediate supervisor or previous supervisor),,,,,,,,,,
NO7wjA7T9uy,Confidential reference from head of institution where applicant is/was currently employed.,?,?,?,?,,,,,,
KIophtKLS2U,Any other pertinent document,?,,,,,,,,,
PC81tqQW2pT,For radiographers: a signed mutual agreement between applicant and a registered private radiologist attesting that the radiologist will make radiological reporting,?,,,,,,,,,
uP51La6owLL,Certified copy of current NMCB practicing licence,,?,,,,,,,,
Wbh1nd3fQlo,Intent to lease,,,?,,?,,,,,
cfPdHbFkPOA,"Structural resources including buildings (drawings), equipment",,,,,?,?,?,?,,
no need to attach. We can check on staff list,Human resources to be engaged,,,,,?,?,?,?,,
VCSYRBn9Zql,Proposal,,,,,,?,,?,,
bDAl5UURqay,"Envisaged public health benefits, innovations, sustainability",,,,,,?,?,?,,
Ee8R466grcE,Functional clinical governance structure,,,,,,?,?,?,,
rwvlAQ3f0uw,Certificate of incorporations,,,,,,?,?,?,,
LpKmJx65y05,Share certificates,,,,,,?,?,?,,
cfPdHbFkPOA,Architectural sketches/plans including alterations before and after in case of existing structures,,,,,,?,?,?,,
Aik7NdDoFwr,Letters of intent,,,?,,?,?,?,?,,
KUEmeH17ITM,Intent to employ/hire/engage,,,,,,,?,,,
no need to attach we can check list of services,Professional services to be offered,,,,,?,?,?,?,,
check list of staff list,Intent to employ/hire,,,,,,?,,?,,
HdOefa1HTrn,Certificate from registrar of societies (non-for-profit),,,,,,,,?,,
